galleryFee,artistFee,sale,timestamp,galleryPerc,artistPerc
1.4,12.6,14.0,1583086028,10.0,90.0
0.36,3.24,3.6,1583086075,10.0,90.0
0.375,3.375,3.75,1583087348,10.0,90.0
0.275,2.475,2.75,1583087680,10.000000000000002,90.0
0.33,2.97,3.3000000000000003,1583089729,10.0,89.99999999999999
0.325,2.925,3.25,1583090080,10.0,90.0
0.5,4.5,5.0,1583091685,10.0,90.0
0.5,4.5,5.0,1583092139,10.0,90.0
0.75,6.75,7.5,1583093659,10.0,90.0
0.68,6.12,6.8,1583094053,10.0,90.0
0.6,5.4,6.0,1583094787,10.0,90.0
0.5,4.5,5.0,1583094924,10.0,90.0
0.56,5.04,5.6,1583096647,10.000000000000002,90.0
7.7,69.3,77.0,1583099677,10.0,90.0
1.0,9.0,10.0,1583101106,10.0,90.0
2.0,18.0,20.0,1583101193,10.0,90.0
2.0,18.0,20.0,1583103818,10.0,90.0
3.5,31.5,35.0,1583105767,10.0,90.0
1.49,13.41,14.9,1583106072,10.0,90.0
1.48,13.32,14.8,1583108150,10.0,90.0
6.6,59.4,66.0,1583110370,10.0,90.0
0.3,2.7,3.0,1583111486,10.0,90.0
0.65,5.85,6.5,1583111486,10.0,90.0
0.35,3.15,3.5,1583112048,10.0,90.0
0.52,4.68,5.199999999999999,1583112098,10.000000000000002,90.00000000000001
0.5,4.5,5.0,1583113090,10.0,90.0
0.45,4.05,4.5,1583113124,10.0,90.0
0.3,2.7,3.0,1583113446,10.0,90.0
0.27,2.43,2.7,1583113584,10.0,90.0
4.0,36.0,40.0,1583115256,10.0,90.0
1.5,13.5,15.0,1583116456,10.0,90.0
1.1,9.9,11.0,1583118666,10.000000000000002,90.0
1.5,13.5,15.0,1583119632,10.0,90.0
1.3,11.7,13.0,1583120282,10.0,90.0
0.07,0.63,0.7,1583161365,10.000000000000002,90.0
0.45,4.05,4.5,1583164002,10.0,90.0
0.2,1.8,2.0,1583164532,10.0,90.0
0.53,4.77,5.3,1583165449,10.0,89.99999999999999
0.5,4.5,5.0,1583174589,10.0,90.0
0.04,0.36,0.39999999999999997,1583175224,10.0,90.00000000000001
0.03,0.27,0.30000000000000004,1583175338,9.999999999999998,89.99999999999999
0.025,0.225,0.25,1583175414,10.0,90.0
0.025,0.225,0.25,1583175534,10.0,90.0
0.03,0.27,0.30000000000000004,1583175850,9.999999999999998,89.99999999999999
0.02,0.18,0.19999999999999998,1583175918,10.0,90.00000000000001
0.03,0.27,0.30000000000000004,1583175996,9.999999999999998,89.99999999999999
0.05,0.45,0.5,1583176062,10.0,90.0
0.05,0.45,0.5,1583176199,10.0,90.0
0.04,0.36,0.39999999999999997,1583176333,10.0,90.00000000000001
0.03,0.27,0.30000000000000004,1583176619,9.999999999999998,89.99999999999999
0.2,1.8,2.0,1583176943,10.0,90.0
0.41,3.69,4.1,1583184633,10.0,90.00000000000001
0.13,1.17,1.2999999999999998,1583623056,10.000000000000002,90.00000000000001
0.115,1.035,1.15,1583624281,10.0,90.0
0.2,1.8,2.0,1583625472,10.0,90.0
0.4,3.6,4.0,1583626647,10.0,90.0
0.225,2.025,2.25,1585519406,10.0,90.0
0.075,0.675,0.75,1585521042,10.0,90.0
0.1,0.9,1.0,1585522780,10.0,90.0
0.1,0.9,1.0,1585584765,10.0,90.0
0.1,0.9,1.0,1585584765,10.0,90.0
0.1,0.9,1.0,1585585104,10.0,90.0
0.1,0.9,1.0,1585587396,10.0,90.0
0.115,1.035,1.15,1585587575,10.0,90.0
0.5,4.5,5.0,1585595048,10.0,90.0
