galleryFee,artistFee,sellerFee,sale,timestamp,galleryPerc,artistPerc,sellerPerc
0.013,0.13,1.157,1.3,1585600734,1.0,10.0,89.0
0.0118,0.118,1.0502,1.18,1587692551,1.0,10.0,89.0
0.01,0.1,0.89,1.0,1588455605,1.0,10.0,89.0
0.004,0.04,0.356,0.39999999999999997,1594564763,1.0000000000000002,10.0,89.00000000000001
0.0246,0.246,2.1894,2.46,1594951806,1.0,10.0,89.0
0.01,0.1,0.89,1.0,1594952777,1.0,10.0,89.0
0.02,0.2,1.78,2.0,1595177989,1.0,10.0,89.0
0.05,0.5,4.45,5.0,1596676137,1.0,10.0,89.0
0.025,0.25,2.225,2.5,1598194378,1.0,10.0,89.0
0.2,2.0,17.8,20.0,1599158507,1.0,10.0,89.0
0.025,0.25,2.225,2.5,1600913857,1.0,10.0,89.0
0.0206,0.206,1.8334,2.06,1597116044,1.0,9.999999999999998,89.0
0.0125,0.125,1.1125,1.25,1597604797,1.0,10.0,89.0
0.0125,0.125,1.1125,1.25,1597605928,1.0,10.0,89.0
0.0125,0.125,1.1125,1.25,1598127848,1.0,10.0,89.0
0.03,0.3,2.67,3.0,1600759187,1.0,10.0,89.0
0.05,0.5,4.45,5.0,1600785472,1.0,10.0,89.0
0.005,0.05,0.445,0.5,1602538019,1.0,10.0,89.0
0.003,0.03,0.267,0.30000000000000004,1602831321,0.9999999999999998,9.999999999999998,89.0
0.05,0.5,4.45,5.0,1603443428,1.0,10.0,89.0
0.015,0.15,1.335,1.5,1603651118,1.0,10.0,89.0
0.05,0.5,4.45,5.0,1608691256,1.0,10.0,89.0
0.0035,0.035,0.3115,0.35,1610417855,1.0000000000000002,10.000000000000002,89.0
0.005,0.05,0.445,0.5,1610591859,1.0,10.0,89.0
0.005,0.05,0.445,0.5,1610758280,1.0,10.0,89.0
0.002,0.02,0.178,0.19999999999999998,1610766343,1.0000000000000002,10.0,89.00000000000001
0.003,0.03,0.267,0.30000000000000004,1611174836,0.9999999999999998,9.999999999999998,89.0
0.1999,1.999,17.7911,19.990000000000002,1611601320,0.9999999999999998,10.0,89.0
0.0999,0.999,8.8911,9.99,1611601337,1.0,10.0,89.0
0.1999,1.999,17.7911,19.990000000000002,1611601380,0.9999999999999998,10.0,89.0
0.01,0.1,0.89,1.0,1612345418,1.0,10.0,89.0
0.015,0.15,1.335,1.5,1613103107,1.0,10.0,89.0
0.05,0.5,4.45,5.0,1614742242,1.0,10.0,89.0
0.02,0.2,1.78,2.0,1615205624,1.0,10.0,89.0
0.023,0.23,2.047,2.3000000000000003,1615205624,0.9999999999999998,9.999999999999998,89.0
0.0325,0.325,2.8925,3.25,1615205637,1.0,10.0,89.0
0.006,0.06,0.534,0.6000000000000001,1615384249,0.9999999999999998,9.999999999999998,89.0
0.21,2.1,18.69,21.0,1615912040,1.0,10.0,89.00000000000001
0.1,1.0,8.9,10.0,1616374783,1.0,10.0,89.0
0.05,0.5,4.45,5.0,1616538782,1.0,10.0,89.0
0.0045,0.045,0.4005,0.45,1616552557,0.9999999999999999,10.0,89.00000000000001
