galleryFee,artistFee,sale,timestamp,galleryPerc,artistPerc
0.525,2.975,3.5,1612463378,15.0,85.0
0.15,0.85,1.0,1612463455,15.0,85.0
0.222765,1.262335,1.4851,1612464133,14.999999999999998,84.99999999999999
0.21966,1.24474,1.4644,1612464206,15.000000000000002,85.0
0.0825,0.4675,0.55,1612464719,14.999999999999998,85.0
0.1665,0.9435,1.11,1612465971,15.0,84.99999999999999
0.3,1.7,2.0,1612466579,15.0,85.0
0.0645,0.3655,0.43,1612466595,15.0,85.0
0.453765,2.571335,3.0251,1612466987,15.0,84.99999999999999
1.3155,7.4545,8.77,1612469394,14.999999999999998,85.00000000000001
1.332,7.548,8.88,1612471119,15.0,84.99999999999999
0.054465,0.308635,0.3631,1612471405,15.000000000000002,85.0
1.575,8.925,10.5,1612473631,15.0,85.00000000000001
0.183,1.037,1.22,1612474534,15.000000000000002,84.99999999999999
0.033,0.187,0.22,1612479128,15.000000000000002,85.0
0.0999,0.5661,0.666,1612479173,15.0,85.0
0.075,0.425,0.5,1612479187,15.0,85.0
0.021885,0.124015,0.1459,1612479196,15.000000000000002,85.0
0.2625,1.4875,1.75,1612479196,15.0,85.0
0.075,0.425,0.5,1612484162,15.0,85.0
0.15,0.85,1.0,1612486270,15.0,85.0
0.087,0.493,0.58,1612486270,15.0,85.0
0.614955,3.484745,4.0997,1612487115,14.999999999999998,85.0
0.15,0.85,1.0,1612487148,15.0,85.0
0.341385,1.934515,2.2759,1612487155,15.0,85.0
0.1875,1.0625,1.25,1612487163,15.0,85.0
0.0525,0.2975,0.35,1612491054,15.000000000000002,85.0
0.09,0.51,0.6,1612493096,15.0,85.0
0.22689,1.28571,1.5126,1612497438,15.0,85.0
0.075,0.425,0.5,1612497438,15.0,85.0
0.165,0.935,1.1,1612497758,14.999999999999998,85.0
0.1665,0.9435,1.11,1612504364,15.0,84.99999999999999
0.15,0.85,1.0,1612555108,15.0,85.0
0.42,2.38,2.8,1612556392,15.000000000000002,85.0
0.1188,0.6732,0.792,1612565413,15.0,85.0
0.169965,0.963135,1.1331,1612571100,15.000000000000002,84.99999999999999
0.15,0.85,1.0,1612578357,15.0,85.0
0.1995,1.1305,1.33,1612592732,15.000000000000002,85.0
0.1875,1.0625,1.25,1612592755,15.0,85.0
0.15,0.85,1.0,1612596650,15.0,85.0
0.24,1.36,1.6,1612601060,15.0,85.0
0.05775,0.32725,0.385,1612632856,15.0,85.0
0.165,0.935,1.1,1612634420,14.999999999999998,85.0
0.165,0.935,1.1,1612634430,14.999999999999998,85.0
0.1035,0.5865,0.6900000000000001,1612641143,14.999999999999998,85.0
0.213,1.207,1.4200000000000002,1612641166,14.999999999999998,85.0
0.045,0.255,0.3,1612642370,15.0,85.0
0.060465,0.342635,0.4031,1612642621,15.0,85.0
0.225,1.275,1.5,1612645381,15.0,84.99999999999999
0.2475,1.4025,1.6500000000000001,1612668259,14.999999999999998,85.0
0.075,0.425,0.5,1612669712,15.0,85.0
0.0975,0.5525,0.65,1612670134,15.0,85.0
0.1125,0.6375,0.75,1612675145,15.0,84.99999999999999
0.046089,0.261171,0.30726,1612678188,15.000000000000002,85.0
0.18,1.02,1.2,1612692969,15.0,85.0
0.15,0.85,1.0,1612721950,15.0,85.0
0.15,0.85,1.0,1612728122,15.0,85.0
0.05775,0.32725,0.385,1612731718,15.0,85.0
0.075,0.425,0.5,1612741129,15.0,85.0
0.33,1.87,2.2,1612741556,14.999999999999998,85.0
0.1875,1.0625,1.25,1612741578,15.0,85.0
0.12375,0.70125,0.8250000000000001,1612742104,14.999999999999998,85.0
0.0675,0.3825,0.45,1612756656,15.0,85.0
0.0915,0.5185,0.61,1612756737,15.000000000000002,84.99999999999999
0.15,0.85,1.0,1612757045,15.0,85.0
0.975,5.525,6.5,1612757366,15.0,85.0
0.108,0.612,0.72,1612824455,15.000000000000002,85.0
0.1125,0.6375,0.75,1612824544,15.0,84.99999999999999
0.06,0.34,0.4,1612839668,15.0,85.0
0.15,0.85,1.0,1612866059,15.0,85.0
