galleryFee,artistFee,sale,timestamp,galleryPerc,artistPerc
0.3,1.7,2.0,1596996669,15.0,85.0
0.24875,1.74125,1.99,1613544173,12.5,87.5
0.1125,0.7875,0.9,1602818176,12.5,87.5
0.0625,0.4375,0.5,1602816531,12.5,87.5
0.3,1.7,2.0,1589536236,15.0,85.0
0.025,0.175,0.2,1609676017,12.5,87.5
0.015,0.085,0.1,1589290941,15.0,85.0
0.02375,0.16625,0.19,1599791703,12.5,87.5
0.0504,0.2856,0.336,1600012764,15.0,85.0
0.03125,0.21875,0.25,1614382830,12.5,87.5
0.015625,0.109375,0.125,1614523670,12.5,87.5
0.42,2.38,2.8,1590082814,15.0,85.0
0.0225,0.1275,0.15,1590245878,15.0,85.0
0.0225,0.1275,0.15,1590269455,15.0,85.0
0.045,0.255,0.3,1590548102,15.0,85.0
0.045,0.255,0.3,1590983242,15.0,85.0
0.045,0.255,0.3,1591014847,15.0,85.0
0.015,0.085,0.1,1590324321,15.0,85.0
0.0225,0.1275,0.15,1590600247,15.0,85.0
0.018,0.102,0.12,1590662758,15.0,85.0
0.0225,0.1275,0.15,1590983242,15.0,85.0
0.0225,0.1275,0.15,1591015218,15.0,85.0
0.0375,0.2125,0.25,1591029053,15.0,85.0
0.048,0.272,0.32,1591220467,15.0,85.0
0.0465,0.2635,0.31,1591220467,15.0,85.0
0.045,0.255,0.3,1591240678,15.0,85.0
0.045,0.255,0.3,1591240742,15.0,85.0
0.015,0.085,0.1,1591304397,15.0,85.0
0.015,0.085,0.1,1591391366,15.0,85.0
0.045,0.255,0.3,1591404768,15.0,85.0
0.01875,0.13125,0.15,1595550102,12.5,87.5
0.0225,0.1275,0.15,1591733972,15.0,85.0
0.015,0.105,0.12,1591910814,12.5,87.5
0.025,0.175,0.2,1591917205,12.5,87.5
0.675,3.825,4.5,1593221896,15.0,85.0
0.045,0.255,0.3,1592017956,15.0,85.0
0.045,0.255,0.3,1592017956,15.0,85.0
0.045,0.255,0.3,1592017956,15.0,85.0
0.03,0.17,0.2,1592176002,15.0,85.0
0.015,0.085,0.1,1592267642,15.0,85.0
0.0375,0.2125,0.25,1592336685,15.0,85.0
0.075,0.525,0.6,1607249881,12.5,87.5
0.0075,0.0425,0.05,1592571464,15.0,85.0
0.03,0.17,0.2,1592571468,15.0,85.0
0.015,0.085,0.1,1592598579,15.0,85.0
0.015,0.085,0.1,1592606933,15.0,85.0
0.025,0.175,0.2,1601548062,12.5,87.5
0.015,0.085,0.1,1592896550,15.0,85.0
0.0378125,0.2646875,0.3025,1618192599,12.5,87.5
