galleryFee,artistFee,sale,timestamp,galleryPerc,artistPerc
1.98,9.35,11.33,1589738559,17.48,82.52
0.009,0.0425,0.051500000000000004,1589738573,17.48,82.52
0.0135,0.06375,0.07725,1589738573,17.48,82.52
0.054,0.255,0.309,1589744457,17.48,82.52
1.386,6.545,7.931,1589745748,17.48,82.52
0.036,0.17,0.20600000000000002,1589747655,17.48,82.52
0.018,0.085,0.10300000000000001,1589749140,17.48,82.52
0.0225,0.10625,0.12875,1589751676,17.48,82.52
0.009,0.0425,0.051500000000000004,1589755950,17.48,82.52
0.54,2.55,3.09,1589763803,17.48,82.52
0.045,0.2125,0.2575,1589766433,17.48,82.52
0.045,0.2125,0.2575,1589766577,17.48,82.52
0.198,0.935,1.133,1589778792,17.48,82.52
0.045,0.2125,0.2575,1589786507,17.48,82.52
0.09,0.425,0.515,1589794173,17.48,82.52
0.09,0.425,0.515,1589794174,17.48,82.52
0.09,0.425,0.515,1589794180,17.48,82.52
0.144,0.68,0.8240000000000001,1589800910,17.48,82.52
0.126,0.595,0.721,1589801544,17.48,82.52
0.144,0.68,0.8240000000000001,1589803531,17.48,82.52
0.09,0.425,0.515,1589803925,17.48,82.52
0.126,0.595,0.721,1589805710,17.48,82.52
0.0675,0.31875,0.38625,1589808742,17.48,82.52
0.0675,0.31875,0.38625,1589808742,17.48,82.52
0.126,0.595,0.721,1589815639,17.48,82.52
0.072,0.34,0.41200000000000003,1589815688,17.48,82.52
0.225,1.0625,1.2875,1589815714,17.48,82.52
0.09,0.425,0.515,1589815911,17.48,82.52
0.018,0.085,0.10300000000000001,1589816735,17.48,82.52
0.018,0.085,0.10300000000000001,1589817250,17.48,82.52
0.018,0.085,0.10300000000000001,1589817270,17.48,82.52
0.018,0.085,0.10300000000000001,1589817421,17.48,82.52
0.027,0.1275,0.1545,1589817421,17.48,82.52
0.018,0.085,0.10300000000000001,1589817885,17.48,82.52
0.036,0.17,0.20600000000000002,1589824559,17.48,82.52
0.18,0.85,1.03,1589825589,17.48,82.52
0.18,0.85,1.03,1589826785,17.48,82.52
0.126,0.595,0.721,1589831619,17.48,82.52
0.09,0.425,0.515,1589836119,17.48,82.52
0.0216,0.102,0.12359999999999999,1589836381,17.48,82.52
0.018,0.085,0.10300000000000001,1589837051,17.48,82.52
0.72,3.4,4.12,1589840543,17.48,82.52
0.1368,0.646,0.7828,1589843335,17.48,82.52
1.08,5.1,6.18,1589843966,17.48,82.52
0.09,0.425,0.515,1589845183,17.48,82.52
0.036,0.17,0.20600000000000002,1589867231,17.48,82.52
0.27,1.275,1.545,1589867359,17.48,82.52
0.036,0.17,0.20600000000000002,1589867710,17.48,82.52
0.36,1.7,2.06,1589882575,17.48,82.52
