galleryFee,artistFee,sellerFee,sale,timestamp,galleryPerc,artistPerc,sellerPerc
0.027,0.09,0.81,0.927,1589775285,2.91,9.71,87.38
0.0075,0.025,0.225,0.2575,1589788217,2.91,9.71,87.38
0.006,0.02,0.18,0.206,1589788267,2.91,9.71,87.38
0.0075,0.025,0.225,0.2575,1589791580,2.91,9.71,87.38
0.0078,0.026,0.234,0.26780000000000004,1589811792,2.91,9.71,87.38
0.10356,0.3452,3.1068,3.55556,1589824592,2.91,9.71,87.38
0.10356,0.3452,3.1068,3.55556,1589839188,2.91,9.71,87.38
0.0036,0.012,0.108,0.1236,1589847927,2.91,9.71,87.38
0.006993,0.02331,0.20979,0.240093,1589903373,2.91,9.71,87.38
0.018,0.06,0.54,0.6180000000000001,1589933486,2.91,9.71,87.38
0.0075,0.025,0.225,0.2575,1589955604,2.91,9.71,87.38
0.135,0.45,4.05,4.635,1589983340,2.91,9.71,87.38
0.0165,0.055,0.495,0.5665,1589984583,2.91,9.71,87.38
0.0186,0.062,0.558,0.6386000000000001,1589985342,2.91,9.71,87.38
0.036,0.12,1.08,1.2360000000000002,1589995317,2.91,9.71,87.38
0.036,0.12,1.08,1.2360000000000002,1589999045,2.91,9.71,87.38
0.0525,0.175,1.575,1.8025,1589999233,2.91,9.71,87.38
0.024,0.08,0.72,0.824,1590030031,2.91,9.71,87.38
0.0195,0.065,0.585,0.6695,1590032550,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1590036939,2.91,9.71,87.38
0.0225,0.075,0.675,0.7725,1590041095,2.91,9.71,87.38
0.045,0.15,1.35,1.545,1590069251,2.91,9.71,87.38
0.0045,0.015,0.135,0.15450000000000003,1590084485,2.91,9.71,87.38
0.036,0.12,1.08,1.2360000000000002,1590085877,2.91,9.71,87.38
0.09,0.3,2.7,3.09,1590089379,2.91,9.71,87.38
0.165,0.55,4.95,5.665,1590166575,2.91,9.71,87.38
0.012,0.04,0.36,0.412,1590214600,2.91,9.71,87.38
0.0075,0.025,0.225,0.2575,1590352260,2.91,9.71,87.38
0.009,0.03,0.27,0.30900000000000005,1590353573,2.91,9.71,87.38
0.0075,0.025,0.225,0.2575,1590420082,2.91,9.71,87.38
0.024,0.08,0.72,0.824,1590444256,2.91,9.71,87.38
0.0108,0.036,0.324,0.37079999999999996,1590464825,2.91,9.71,87.38
0.00735,0.0245,0.2205,0.25235,1590495057,2.91,9.71,87.38
0.021,0.07,0.63,0.7210000000000001,1590526095,2.91,9.71,87.38
0.018,0.06,0.54,0.6180000000000001,1590537909,2.91,9.71,87.38
0.0045,0.015,0.135,0.15450000000000003,1590787534,2.91,9.71,87.38
0.0105,0.035,0.315,0.36050000000000004,1590813728,2.91,9.71,87.38
0.0015,0.005,0.045,0.0515,1590855782,2.91,9.71,87.38
0.0192225,0.064075,0.576675,0.6599725000000001,1590959119,2.91,9.71,87.38
0.0192225,0.064075,0.576675,0.6599725000000001,1590959416,2.91,9.71,87.38
0.0726,0.242,2.178,2.4926,1590960606,2.91,9.71,87.38
0.021,0.07,0.63,0.7210000000000001,1590982098,2.91,9.71,87.38
0.0291,0.097,0.873,0.9991,1591108095,2.91,9.71,87.38
0.0105,0.035,0.315,0.36050000000000004,1591116282,2.91,9.71,87.38
0.0066,0.022,0.198,0.2266,1591122977,2.91,9.71,87.38
0.009,0.03,0.27,0.30900000000000005,1591123084,2.91,9.71,87.38
0.018,0.06,0.54,0.6180000000000001,1591176137,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1591193760,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1591193765,2.91,9.71,87.38
0.009,0.03,0.27,0.30900000000000005,1591194501,2.91,9.71,87.38
0.036,0.12,1.08,1.2360000000000002,1591195035,2.91,9.71,87.38
0.018,0.06,0.54,0.6180000000000001,1591197035,2.91,9.71,87.38
0.045,0.15,1.35,1.545,1591199481,2.91,9.71,87.38
0.096,0.32,2.88,3.296,1591213117,2.91,9.71,87.38
0.045,0.15,1.35,1.545,1591214819,2.91,9.71,87.38
0.0225,0.075,0.675,0.7725,1591274769,2.91,9.71,87.38
0.012,0.04,0.36,0.412,1591322891,2.91,9.71,87.38
0.045,0.15,1.35,1.545,1591326872,2.91,9.71,87.38
0.036,0.12,1.08,1.2360000000000002,1591369733,2.91,9.71,87.38
0.0282,0.094,0.846,0.9682,1591371910,2.91,9.71,87.38
0.0165,0.055,0.495,0.5665,1591376299,2.91,9.71,87.38
0.09,0.3,2.7,3.09,1591396955,2.91,9.71,87.38
0.09,0.3,2.7,3.09,1591396964,2.91,9.71,87.38
0.0375,0.125,1.125,1.2875,1591463619,2.91,9.71,87.38
0.01065,0.0355,0.3195,0.36565,1591477294,2.91,9.71,87.38
0.075,0.25,2.25,2.575,1591479181,2.91,9.71,87.38
0.033,0.11,0.99,1.133,1591482988,2.91,9.71,87.38
0.081,0.27,2.43,2.781,1591541790,2.91,9.71,87.38
0.02263107,0.0754369,0.6789321,0.77700007,1591547965,2.91,9.71,87.38
0.043686,0.14562,1.31058,1.499886,1591548069,2.91,9.71,87.38
0.06,0.2,1.8,2.06,1591556356,2.91,9.71,87.38
0.069,0.23,2.07,2.3689999999999998,1591617231,2.91,9.71,87.38
0.0126,0.042,0.378,0.4326,1591643893,2.91,9.71,87.38
0.015,0.05,0.45,0.515,1591652259,2.91,9.71,87.38
0.00225,0.0075,0.0675,0.07725000000000001,1591665250,2.91,9.71,87.38
0.009,0.03,0.27,0.30900000000000005,1591727332,2.91,9.71,87.38
0.021,0.07,0.63,0.7210000000000001,1591735979,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1591741482,2.91,9.71,87.38
0.0225,0.075,0.675,0.7725,1591824255,2.91,9.71,87.38
0.012,0.04,0.36,0.412,1591825124,2.91,9.71,87.38
0.00999,0.0333,0.2997,0.34299,1591825124,2.91,9.71,87.38
0.03,0.1,0.9,1.03,1591847229,2.91,9.71,87.38
0.0075,0.025,0.225,0.2575,1591894464,2.91,9.71,87.38
